word,count
Forms,3
competitive,12
activity,15
physicalFor,1
Sport,21
disambiguationSport,1
childhood,11
Association,27
football,31
shown,12
team,42
sport,70
opportunities,16
nurture,4
physical,43
fitness,6
social,105
interaction,4
skillsThe,1
2005,50
London,17
Marathon,3
running,9
races,3
specialties,1
represent,2
oldest,3
traditional,19
form,49
sportSport,1
pertains,3
game1,1
organized,5
aims,32
maintain,6
improve,22
ability,19
skills,68
providing,23
enjoyment,4
participants,30
cases,17
entertainment,6
spectators2,1
Sports,66
casual,3
participation,23
health,15
Hundreds,2
sports,119
exist,6
single,11
contestants,4
hundreds,3
simultaneous,2
teams,13
competing,6
individuals,23
In,233
racing,9
compete,7
simultaneously,3
consecutively,2
winner,10
contest,2
match,14
sides,4
attempting,3
exceed,2
Some,35
tie,2
draw,4
provide,43
tiebreaking,2
methods,22
ensure,10
A,210
number,41
contests,2
arranged,2
tournament,8
producing,4
champion,7
Many,16
leagues,6
make,28
annual,5
arranging,2
games,23
regular,13
season,19
playoffsSport,2
generally,10
recognised,5
system,33
activities,28
based,40
athleticism,2
dexterity,2
major,18
competitions,4
Olympic,41
Games,23
admitting,5
meeting,3
definition3,1
Other,12
organisations,4
Council,16
Europe,29
preclude,2
element,6
classification,5
sports2,1
However,27
nonphysical,5
claim,4
recognition,4
mind,17
The,449
International,85
Committee,7
ARISF,2
recognises,6
chess,5
bridge,4
bona,2
fide,2
SportAccord,6
international,33
federation,4
association,12
draughts,2
checkers,2
Go,5
xiangqi45,1
limits,3
admitted,5
sports1Sport,1
governed,3
set,28
rules,16
customs,1
serve,3
fair,6
competition,21
consistent,3
adjudication,1
Winning,2
determined,2
events,25
scoring,7
goals,14
crossing,2
line,4
It,96
judges,3
elements,4
sporting,7
performance,15
including,50
objective,6
subjective,5
measures,5
technical,8
artistic,3
impressionRecords,1
popular,16
information,33
widely,6
announced,2
reported,17
news,2
source,6
nonparticipants,2
spectator,6
drawing,2
large,14
crowds,1
venues,3
reaching,1
wider,5
audiences,5
broadcasting,2
betting,2
severely,3
regulated,4
central,14
sportAccording,1
AT,1
Kearney,1
consultancy,1
global,11
industry,4
worth,2
620,1
billion,6
20136,1
worlds,2
accessible,3
practised,3
sport7Meaning,1
usageeditEtymologyeditThe,1
word,5
Old,1
French,20
desport,1
meaning,14
leisure,3
definition,20
English,43
1300,1
humans,8
find,4
amusing,1
entertaining8Other,1
meanings,5
include,51
gambling,4
staged,1
purpose,15
hunting,2
diversions,1
require,12
exercise9,1
Rogets,2
defines,3
noun,1
engaged,3
relaxation,1
amusement,1
synonyms,1
diversion,1
recreation10NomenclatureeditThe,1
singular,1
term,27
dialects,1
describe,7
concept,17
children,76
taking,6
part,26
multiple,9
rugby,9
England,21
American,34
termscitation,1
neededDefinitioneditSee,1
Game,3
DefinitionsThe,1
board,2
chessShow,1
jumping,3
equestrian,3
sportThe,2
precise,12
differentiates,1
varies,4
sources,13
closest,1
agreement,4
provided,14
Global,26
Federations,1
GAISF,2
largest,2
federations,1
athletics,2
cycling,2
tennis,4
facto,3
representative,3
sportGAISF,1
criteria,6
determining,3
should1have,1
competitionbe,1
harmful,1
living,6
creaturenot,1
rely,3
equipment,8
supplier,2
excluding,1
proprietary,1
arena,1
footballnot,1
luck,1
